,Name,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,Height (in),Points/Game,Assists/Game,Steals/Game,Rebounds/Game,Blocks/Game,Ability Score
158,Hamidou Diallo,21,"Queens, NY",USA,,,,,,"6'5""",3.7,0.3,0.4,1.9,0.2,6.5
159,Gorgui Dieng,30,Kebemer,Senegal,,,University of Louisville,,,"6'10""",6.4,0.9,0.6,4.1,0.5,12.5
160,Spencer Dinwiddie,27,"Los Angeles, CA",USA,,,University of Colorado,,,"6'5""",16.8,4.6,0.6,2.4,0.2,24.599999999999998
161,Donte DiVincenzo,23,"Newark, DE",USA,,,,,,"6'4""",4.9,1.1,0.5,2.4,0.2,9.1
162,Luka Doncic,21,Ljubjana,Slovenia,,,,,,"6'7""",21.2,6.0,1.1,7.8,0.3,36.4
163,Tyler Dorsey,24,"Pasadena, CA",USA,,,University of Oregon,,,"6'5""",3.3,0.6,0.3,1.6,0.0,5.8
164,Tyler Dorsey,24,"Pasadena, CA",USA,,,University of Oregon,,,"6'5""",9.8,1.9,0.4,3.3,0.0,15.400000000000002
165,Damyean Dotson,25,"Houston, TX",USA,,,University of Houston,,,"6'5""",10.7,1.8,0.8,3.6,0.1,17.0
166,PJ Dozier,23,"Columbia, SC",USA,,,,,,"6'6""",3.2,0.8,0.3,2.8,0.0,7.1
167,Goran Dragic,33,Ljubljana,Slovenia,,,,,,"6'3""",13.7,4.8,0.8,3.1,0.1,22.500000000000004
168,Andre Drummond,26,"Mount Vernon, NY",USA,,,University of Connecticut,,,"6'10""",17.3,1.4,1.7,15.6,1.8,37.8
169,Jared Dudley,34,"San Diego, CA",USA,,,Boston College,,,"6'6""",4.9,1.4,0.6,2.6,0.3,9.8
170,Kris Dunn,26,"New London, CT",USA,,,Providence College,,,"6'3""",11.3,6.0,1.5,4.1,0.5,23.4
171,Kevin Durant,31,"Washington, DC",USA,,,University of Texas at Austin,,,"6'10""",26.0,5.9,0.8,6.4,1.1,40.199999999999996
172,Trevon Duval,21,"New Castle, DE",USA,,,,,,"6'3""",1.7,0.7,0.0,0.3,0.0,2.7
173,Vincent Edwards,24,"Middletown, OH",USA,,,,,,"6'8""",1.5,0.0,0.0,1.0,0.0,2.5
174,Henry Ellenson,23,"Rice Lake, WI",USA,,,Marquette University,,,"6'11""",6.0,0.5,0.0,4.5,0.0,11.0
175,Henry Ellenson,23,"Rice Lake, WI",USA,,,Marquette University,,,"6'11""",6.0,0.9,0.4,3.4,0.1,10.8
176,Wayne Ellington,32,"Wynnewood, PA",USA,,,University of North Carolina,,,"6'4""",8.4,1.2,1.0,1.9,0.1,12.6
177,Wayne Ellington,32,"Wynnewood, PA",USA,,,University of North Carolina,,,"6'4""",12.0,1.5,1.1,2.1,0.1,16.8
178,Joel Embiid,26,Yaounde,Cameroon,,,University of Kansas,,,"7'0""",27.5,3.7,0.7,13.6,1.9,47.400000000000006
179,James Ennis III,29,"Ventura, CA",USA,,,"California State University, Long Beach",,,"6'6""",7.4,0.7,1.0,2.9,0.4,12.4
180,James Ennis III,29,"Ventura, CA",USA,,,"California State University, Long Beach",,,"6'6""",5.3,0.8,0.2,3.6,0.4,10.3
181,Drew Eubanks,23,"Starkville, MS",USA,,,,,,"6'9""",1.8,0.3,0.1,1.5,0.2,3.9
182,Jacob Evans,22,"Jacksonville, NC",USA,,,,,,"6'4""",1.3,0.8,0.2,0.8,0.1,3.2000000000000006
183,Jawun Evans,23,"Greenville, SC",USA,,,Oklahoma State University,,,"6'0""",0.9,1.4,0.4,1.7,0.0,4.4
184,Jawun Evans,23,"Greenville, SC",USA,,,Oklahoma State University,,,"6'0""",0.0,0.0,0.0,0.0,0.0,0.0
185,Tyreke Evans,30,"Chester, PA",USA,,,University of Memphis,,,"6'6""",10.2,2.4,0.8,2.9,0.3,16.6
186,Dante Exum,24,Melbourne,Australia,,,,,,"6'5""",6.9,2.6,0.3,1.6,0.1,11.5
187,Kenneth Faried,30,"Newark, NJ",USA,,,Morehead State University,,,"6'8""",5.1,0.2,0.2,3.7,0.3,9.5
188,Kenneth Faried,30,"Newark, NJ",USA,,,Morehead State University,,,"6'8""",12.9,0.7,0.6,8.3,0.8,23.300000000000004
189,Derrick Favors,28,"Atlanta, GA",USA,,,Georgia Institute of Technology,,,"6'9""",11.8,1.2,0.7,7.4,1.4,22.5
190,Cristiano Felicio,27,Pouso Alegre,Brazil,,,,,,"6'10""",4.0,0.6,0.2,3.6,0.1,8.499999999999998
191,Raymond Felton,35,"Marion, SC",USA,,,University of North Carolina,,,"6'1""",4.2,1.5,0.3,1.0,0.2,7.2
192,Terrance Ferguson,21,"Tulsa, OK",USA,,,,,,"6'6""",6.9,1.0,0.5,1.9,0.2,10.5
193,Yogi Ferrell,26,"Indianapolis, IN",USA,,,Indiana University,,,"6'0""",5.9,1.9,0.5,1.5,0.1,9.9
194,Dorian Finney-Smith,26,"Portsmouth, VA",USA,,,University of Florida,,,"6'7""",7.5,1.2,0.9,4.8,0.5,14.9
195,Bryn Forbes,26,"Lansing, MI",USA,,,Michigan State University,,,"6'2""",11.8,2.1,0.5,2.9,0.0,17.3
196,Evan Fournier,27,Saint-Maurice,France,,,,,,"6'7""",15.1,3.6,0.9,3.2,0.1,22.900000000000002
197,De'Aaron Fox,22,"New Orleans, LA",USA,,,University of Kentucky,,,"6'3""",17.3,7.3,1.6,3.8,0.6,30.600000000000005
198,Tim Frazier,29,"Houston, TX",USA,,,Pennsylvania State University,,,"6'0""",5.0,4.4,0.5,2.9,0.1,12.9
199,Tim Frazier,29,"Houston, TX",USA,,,Pennsylvania State University,,,"6'0""",6.2,3.5,0.4,2.6,0.1,12.8
200,Melvin Frazier Jr.,23,"New Orleans, LA",USA,,,,,,"6'5""",1.5,0.1,0.1,0.5,0.0,2.2
201,Jimmer Fredette,31,"Glens Falls, NY",USA,,,Brigham Young University,,,,3.7,1.3,0.5,1.2,0.0,6.7
202,Channing Frye,36,"White Plains, NY",USA,,,University of Arizona,,,"6'11""",3.6,0.6,0.2,1.4,0.1,5.8999999999999995
203,Markelle Fultz,21,"Upper Marlboro, MD",USA,,,University of Washington,,,"6'3""",8.2,3.1,0.9,3.6,0.3,16.099999999999998
204,Danilo Gallinari,31,Sant'Angelo Lodigiano,Italy,,,,,,"6'10""",19.8,2.6,0.7,6.1,0.3,29.5
205,Langston Galloway,28,"Baton Rouge, LA",USA,,,Saint Joseph's University,,,"6'1""",8.4,1.1,0.5,2.1,0.1,12.2
206,Billy Garrett,25,"Chicago, IL",USA,,,,,,"6'6""",6.5,1.8,0.2,0.8,0.2,9.499999999999998
207,Marc Gasol,35,Barcelona,Spain,,,,,,"6'11""",15.7,4.7,1.1,8.6,1.2,31.299999999999997
208,Marc Gasol,35,Barcelona,Spain,,,,,,"6'11""",9.1,3.9,0.9,6.7,0.9,21.499999999999996
209,Pau Gasol,39,Barcelona,Spain,,,,,,"7'0""",4.2,1.9,0.2,4.7,0.5,11.5
210,Pau Gasol,39,Barcelona,Spain,,,,,,"7'0""",1.3,0.7,0.0,3.3,0.3,5.6
211,Rudy Gay,33,"Brooklyn, NY",USA,,,University of Connecticut,,,"6'8""",13.7,2.6,0.8,6.8,0.5,24.400000000000002
212,Paul George,29,"Palmdale, CA",USA,,,"California State University, Fresno",,,"6'8""",28.0,4.1,2.2,8.1,0.4,42.800000000000004
213,Taj Gibson,34,"Brooklyn, NY",USA,,,University of Southern California,,,"6'9""",10.8,1.2,0.7,6.5,0.6,19.8
214,Harry Giles III,21,"Winston-Salem, NC",USA,,,Duke University,,,"6'11""",7.0,1.5,0.5,3.8,0.4,13.200000000000001
215,Shai Gilgeous-Alexander,21,"Toronto, ON",Canada,,,,,,"6'5""",10.8,3.3,1.2,2.8,0.5,18.6
216,Rudy Gobert,27,Saint-Quentin,France,,,,,,"7'1""",15.9,2.0,0.8,12.8,2.3,33.800000000000004
217,Brandon Goodwin,24,,,,,,,,"6'0""",1.4,0.9,0.0,0.2,0.0,2.5
218,Aaron Gordon,24,"San Jose, CA",USA,,,University of Arizona,,,"6'8""",16.0,3.7,0.7,7.3,0.7,28.4
219,Eric Gordon,31,"Indianapolis, IN",USA,,,Indiana University,,,"6'3""",16.2,1.9,0.6,2.2,0.4,21.299999999999997
220,Marcin Gortat,36,Lodz,Poland,,,,,,"6'11""",5.0,1.4,0.1,5.6,0.5,12.6
221,Devonte' Graham,25,"Raleigh, NC",USA,,,,,,"6'1""",4.7,2.6,0.5,1.4,0.0,9.2
222,Treveon Graham,26,"Washington, DC",USA,,,Virginia Commonwealth University,,,"6'5""",5.3,1.0,0.4,3.0,0.2,9.9
223,Jerami Grant,26,"Portland, OR",USA,,,Syracuse University,,,"6'8""",13.6,1.0,0.8,5.2,1.2,21.8
224,Jerian Grant,27,"Silver Spring, MD",USA,,,University of Notre Dame,,,"6'4""",4.2,2.6,0.7,1.6,0.1,9.2
225,Donte Grantham,25,,,,,,,,"6'8""",0.0,0.0,0.0,0.0,0.0,0.0
226,Danny Green,32,"North Babylon, NY",USA,,,University of North Carolina,,,"6'6""",10.3,1.6,0.9,4.0,0.7,17.5
227,Draymond Green,30,"Saginaw, MI",USA,,,Michigan State University,,,"6'6""",7.4,6.9,1.4,7.3,1.1,24.1
228,Gerald Green,34,"Houston, TX",USA,,,,,,"6'6""",9.2,0.5,0.5,2.5,0.4,13.1
229,JaMychal Green,29,"Montgomery, AL",USA,,,University of Alabama,,,"6'8""",9.8,0.9,0.8,6.1,0.6,18.200000000000003
230,JaMychal Green,29,"Montgomery, AL",USA,,,University of Alabama,,,"6'8""",8.7,0.6,0.5,6.6,0.3,16.7
231,Jeff Green,33,"Cheverly, MD",USA,,,Georgetown University,,,"6'8""",12.3,1.8,0.6,4.0,0.5,19.200000000000003
232,Blake Griffin,31,"Oklahoma City, OK",USA,,,University of Oklahoma,,,"6'9""",24.5,5.4,0.7,7.5,0.4,38.5
233,Daniel Hamilton,24,"Los Angeles, CA",USA,,,University of Connecticut,,,"6'7""",3.0,1.2,0.3,2.5,0.1,7.1
234,Dusty Hannahs,26,,,,,,,,"6'3""",4.0,2.5,0.5,0.5,0.0,7.5
235,Tim Hardaway Jr.,28,"Orinda, CA",USA,,,University of Michigan,,,"6'5""",19.1,2.7,0.9,3.5,0.1,26.3
236,Tim Hardaway Jr.,28,"Orinda, CA",USA,,,University of Michigan,,,"6'5""",15.5,1.9,0.6,3.2,0.1,21.3
237,James Harden,30,"Los Angeles, CA",USA,,,Arizona State University,,,"6'5""",36.1,7.5,2.0,6.6,0.7,52.900000000000006
238,Maurice Harkless,26,"Queens, NY",USA,,,St. John's University,,,"6'7""",7.7,1.2,1.1,4.5,0.9,15.399999999999999
239,Montrezl Harrell,26,"Tarboro, NC",USA,,,University of Louisville,,,"6'7""",16.6,2.0,0.9,6.5,1.3,27.3
240,Devin Harris,37,"Milwaukee, WI",USA,,,University of Wisconsin,,,"6'3""",6.3,1.8,0.5,1.6,0.2,10.4
241,Gary Harris,25,"Fishers, IN",USA,,,Michigan State University,,,"6'4""",12.9,2.2,1.0,2.8,0.3,19.2
242,Joe Harris,28,"Chelan, WA",USA,,,University of Virginia,,,"6'6""",13.7,2.4,0.5,3.9,0.2,20.699999999999996
243,Tobias Harris,27,"Islip, NY",USA,,,University of Tennessee,,,"6'8""",20.9,2.7,0.7,7.8,0.4,32.5
244,Tobias Harris,27,"Islip, NY",USA,,,University of Tennessee,,,"6'8""",18.2,2.9,0.4,7.9,0.5,29.9
245,Andrew Harrison,25,"San Antonio, TX",USA,,,University of Kentucky,,,"6'4""",2.0,0.0,0.0,0.0,0.0,2.0
246,Andrew Harrison,25,"San Antonio, TX",USA,,,University of Kentucky,,,"6'4""",4.3,1.7,0.4,1.5,0.2,8.1
247,Andrew Harrison,25,"San Antonio, TX",USA,,,University of Kentucky,,,"6'4""",1.5,1.2,0.0,0.8,0.0,3.5
248,Shaquille Harrison,26,"Kansas City, MO",USA,,,,,,"6'7""",6.5,1.9,1.2,3.0,0.4,13.0
249,Josh Hart,25,"Silver Spring, MD",USA,,,Villanova University,,,"6'5""",7.8,1.4,1.0,3.7,0.6,14.5
250,Isaiah Hartenstein,21,"Eugene, OR",Germany,,,,,,"7'0""",1.9,0.5,0.2,1.7,0.4,4.7
251,Udonis Haslem,39,"Miami, FL",USA,,,University of Florida,,,"6'8""",2.5,0.2,0.0,2.7,0.0,5.4
252,Gordon Hayward,30,"Indianapolis, IN",USA,,,Butler University,,,"6'7""",11.5,3.4,0.8,4.5,0.3,20.5
253,John Henson,29,"Greensboro, NC",USA,,,University of North Carolina,,,"6'9""",5.6,1.0,0.5,5.1,0.8,13.0
254,Juancho Hernangomez,24,Madrid,Spain,,,,,,"6'9""",5.8,0.8,0.4,3.8,0.4,11.200000000000001
255,Willy Hernangomez,25,,Spain,,,,,,"6'11""",7.3,1.0,0.3,5.4,0.4,14.4
256,Mario Hezonja,25,Dubrovnik,Croatia,,,,,,"6'8""",8.8,1.5,1.0,4.1,0.1,15.5
257,Isaiah Hicks,25,"Oxford, NC",USA,,,University of North Carolina,,,"6'9""",4.0,0.7,0.3,2.3,1.0,8.3
258,Buddy Hield,27,Freeport,Bahamas,,,University of Oklahoma,,,"6'4""",20.7,2.5,0.7,5.0,0.4,29.299999999999997
259,Haywood Highsmith,23,,,,,,,,"6'4""",1.8,0.4,0.2,1.0,0.0,3.4
260,Nene Hilario,37,Sao Carlos,Brazil,,,,,,"6'11""",3.6,0.6,0.4,2.9,0.4,7.9
261,George Hill,33,"Indianapolis, IN",USA,,,Indiana University-Purdue University Indianapolis,,,"6'3""",10.8,2.8,1.0,2.1,0.1,16.8
262,George Hill,33,"Indianapolis, IN",USA,,,Indiana University-Purdue University Indianapolis,,,"6'3""",6.8,2.1,0.9,2.6,0.1,12.5
263,Solomon Hill,29,"Los Angeles, CA",USA,,,University of Arizona,,,"6'6""",4.3,1.2,0.5,3.0,0.2,9.2
264,Aaron Holiday,23,"Ruston, LA",USA,,,,,,"6'0""",5.9,1.7,0.4,1.3,0.3,9.600000000000001
265,Jrue Holiday,29,"Chatsworth, CA",USA,,,"University of California, Los Angeles",,,"6'3""",21.2,7.7,1.6,5.0,0.8,36.3
266,Justin Holiday,31,"Mission Hills, CA",USA,,,University of Washington,,,"6'6""",11.6,2.2,1.8,4.4,0.6,20.6
267,Justin Holiday,31,"Mission Hills, CA",USA,,,University of Washington,,,"6'6""",9.5,1.4,1.2,3.5,0.3,15.9
268,John Holland,31,"Bronx, NY",USA,,,Boston University,,,"6'5""",0.0,0.0,0.0,0.0,0.0,0.0
269,Rondae Hollis-Jefferson,25,"Chester, PA",USA,,,University of Arizona,,,"6'6""",8.9,1.6,0.7,5.3,0.5,17.0
270,Richaun Holmes,26,"Lockport, IL",USA,,,Bowling Green State University,,,"6'10""",8.2,0.9,0.6,4.7,1.1,15.499999999999998
271,Rodney Hood,27,"Meridian, MS",USA,,,Duke University,,,"6'8""",12.2,2.0,0.8,2.5,0.1,17.6
272,Rodney Hood,27,"Meridian, MS",USA,,,Duke University,,,"6'8""",9.6,1.3,0.8,1.6,0.2,13.5
273,Al Horford,33,Puerto Plata,Dominican Republic,,,University of Florida,,,"6'9""",13.6,4.1,0.9,6.7,1.3,26.599999999999998
274,Danuel House Jr.,26,"Houston, TX",USA,,,Texas A&M University,,,"6'6""",9.4,1.0,0.5,3.6,0.3,14.8
275,Dwight Howard,34,"Atlanta, GA",USA,,,,,,"6'10""",12.8,0.4,0.8,9.2,0.4,23.599999999999998
276,Kevin Huerter,21,"Albany, NY",USA,,,,,,"6'7""",9.7,2.9,0.9,3.3,0.3,17.1
277,Isaac Humphries,22,Sydney,Australia,,,,,,"6'11""",3.0,0.0,0.2,2.2,0.0,5.4
278,RJ Hunter,26,"Oxford, OH",USA,,,Georgia State University,,,,17.0,3.0,1.0,3.0,0.0,24.0
279,Chandler Hutchison,23,,,,,,,,"6'7""",5.2,0.8,0.5,4.2,0.1,10.8
280,Serge Ibaka,30,Brazzaville,Democratic Republic of the Congo,,,,,,"7'0""",15.0,1.3,0.4,8.1,1.4,26.2
281,Andre Iguodala,36,"Springfield, IL",USA,,,University of Arizona,,,"6'6""",5.7,3.2,0.9,3.7,0.8,14.300000000000002
282,Ersan Ilyasova,32,Eskisehir,Turkey,,,,,,"6'9""",6.8,0.8,0.5,4.5,0.3,12.900000000000002
283,Joe Ingles,32,Happy Valley,Australia,,,,,,"6'7""",12.1,5.7,1.2,4.0,0.2,23.2
284,Andre Ingram,34,"Richmond, VA",USA,,,,,,"6'3""",0.0,0.0,0.2,0.5,0.0,0.7
285,Brandon Ingram,22,"Kinston, NC",USA,,,Duke University,,,"6'7""",18.3,3.0,0.5,5.2,0.6,27.6
286,Kyrie Irving,28,Melbourne,Australia,,,Duke University,,,"6'2""",23.8,6.9,1.6,5.0,0.5,37.800000000000004
287,Jonathan Isaac,22,"New York, NY",USA,,,Florida State University,,,"6'11""",9.6,1.1,0.8,5.5,1.3,18.3
288,Wes Iwundu,25,"Houston, TX",USA,,,Kansas State University,,,"6'6""",5.0,1.1,0.4,2.7,0.3,9.500000000000002
289,Demetrius Jackson,25,"South Bend, IN",USA,,,University of Notre Dame,,,"6'1""",3.7,0.8,0.3,0.5,0.0,5.3
290,Frank Jackson,21,"Washington, DC",USA,,,Duke University,,,"6'3""",8.1,1.1,0.4,2.2,0.0,11.8
291,Josh Jackson,23,"San Diego, CA",USA,,,University of Kansas,,,"6'8""",11.5,2.3,0.9,4.4,0.7,19.799999999999997
292,Justin Jackson,23,"Houston, TX",Canada,,,Maryland,,,"6'7""",6.7,1.3,0.4,2.8,0.2,11.4
293,Justin Jackson,23,"Houston, TX",Canada,,,Maryland,,,"6'7""",8.2,1.0,0.3,2.3,0.0,11.8
294,Reggie Jackson,30,Pordenone,USA,,,Boston College,,,"6'3""",15.4,4.2,0.7,2.6,0.1,23.0
295,Jaren Jackson Jr.,20,"Plainfield, NJ",USA,,,,,,"6'11""",13.8,1.1,0.9,4.7,1.4,21.9
296,LeBron James,35,"Akron, OH",USA,,,,,,"6'9""",27.4,8.3,1.3,8.5,0.6,46.1
297,Amile Jefferson,26,"Philadelphia, PA",USA,,,Duke University,,,"6'9""",2.2,0.2,0.2,1.8,0.2,4.6000000000000005
298,John Jenkins,29,"Nashville, TN",USA,,,Vanderbilt University,,,,1.5,0.2,0.0,0.2,0.0,1.9
299,John Jenkins,29,"Nashville, TN",USA,,,Vanderbilt University,,,,5.2,1.0,0.0,1.6,0.1,7.9
300,Jonas Jerebko,33,Kinna,Sweden,,,,,,"6'10""",6.3,1.3,0.4,3.9,0.2,12.1
301,Alize Johnson,23,"Williamsport, PA",USA,,,,,,"6'7""",0.9,0.1,0.1,1.4,0.2,2.7
302,Amir Johnson,32,"Los Angeles, CA",USA,,,,,,"6'9""",3.9,1.2,0.3,2.9,0.3,8.600000000000001
303,BJ Johnson,24,,,,,,,,"6'7""",3.5,0.0,0.3,1.3,0.0,5.1
304,BJ Johnson,24,,,,,,,,"6'7""",2.0,0.0,0.0,0.0,0.0,2.0
305,James Johnson,33,"Cheyenne, WY",USA,,,Wake Forest,,,"6'7""",7.8,2.5,0.6,3.2,0.5,14.6
306,Stanley Johnson,23,"Los Angeles, CA",USA,,,University of Arizona,,,"6'6""",7.5,1.2,1.0,3.6,0.3,13.6
307,Stanley Johnson,23,"Los Angeles, CA",USA,,,University of Arizona,,,"6'6""",5.3,1.6,0.7,2.3,0.1,9.999999999999998
308,Tyler Johnson,27,"Grand Forks, ND",USA,,,"California State University, Fresno",,,"6'3""",10.8,2.5,0.9,2.7,0.5,17.4
309,Tyler Johnson,27,"Grand Forks, ND",USA,,,"California State University, Fresno",,,"6'3""",11.1,4.2,1.1,4.0,0.5,20.900000000000002
310,Wesley Johnson,32,"Corsicana, TX",USA,,,Syracuse University,,,"6'7""",3.7,0.6,0.5,2.1,0.3,7.2
311,Wesley Johnson,32,"Corsicana, TX",USA,,,Syracuse University,,,"6'7""",2.8,0.6,0.2,1.5,0.4,5.5
312,Nikola Jokic,25,Sombor,Serbia,,,,,,"7'0""",20.0,7.3,1.4,10.8,0.7,40.2
313,Damian Jones,24,"Baton Rouge, LA",USA,,,Vanderbilt University,,,"6'11""",5.4,1.2,0.5,3.1,1.0,11.2
314,Jalen Jones,26,"Dallas, TX",USA,,,Texas A&M University,,,"6'7""",5.1,0.4,0.6,2.1,0.1,8.299999999999999
315,Jemerrio Jones,25,,,,,,,,"6'5""",4.5,2.2,1.2,8.2,1.0,17.099999999999998
316,Terrence Jones,28,"Portland, OR",USA,,,University of Kentucky,,,,1.0,0.0,0.0,2.0,0.0,3.0
317,Tyus Jones,23,"Burnsville, MN",USA,,,Duke University,,,"6'0""",6.9,4.8,1.2,2.0,0.1,14.999999999999998
318,Derrick Jones Jr.,23,"Chester, PA",USA,,,"University of Nevada, Las Vegas",,,"6'6""",7.0,0.6,0.8,4.0,0.7,13.1
319,DeAndre Jordan,31,"Houston, TX",USA,,,Texas A&M University,,,"6'11""",11.0,2.0,0.6,13.7,1.1,28.400000000000002
320,DeAndre Jordan,31,"Houston, TX",USA,,,Texas A&M University,,,"6'11""",10.9,3.0,0.5,11.3,1.1,26.800000000000004
