,Name,Age,Position,Points
783,Tanner Pearson,27,LW,14
784,Tanner Pearson,27,LW,12
785,Matthew Peca,26,C,10
786,Adam Pelech,25,D,21
787,Anthony Peluso,31,RW,0
788,Brendan Perlini,23,LW,6
789,Brendan Perlini,23,LW,15
790,Mathieu Perreault,32,C,31
791,David Perron,31,LW,48
792,Corey Perry,34,RW,10
793,Brett Pesce,25,D,30
794,Nicolas Petan,25,LW,3
795,Nicolas Petan,25,LW,1
797,Alex Petrovic,28,D,1
798,Alex Petrovic,28,D,1
799,Jeff Petry,32,D,46
800,Elias Pettersson,21,C,66
801,Marcus Pettersson,23,D,6
802,Marcus Pettersson,23,D,19
803,Dion Phaneuf,35,D,6
806,Blake Pietila,27,LW,1
807,Alex Pietrangelo,30,D,44
808,Lawrence Pilut,24,D,7
809,Neal Pionk,24,D,26
810,Brandon Pirri,29,C,19
811,Rem Pitlick,23,C,0
812,Tyler Pitlick,28,C,12
813,Tomas Plekanec,37,C,1
814,Ryan Poehling,21,C,3
815,Brayden Point,24,C,92
816,Roman Polak,33,D,9
817,Jason Pominville,37,RW,32
818,Derrick Pouliot,26,D,12
820,Nate Prosser,33,D,0
821,Dalton Prout,30,D,2
822,Ivan Provorov,23,D,27
823,Matt Puempel,27,LW,2
824,Jesse Puljujarvi,21,RW,9
825,Ryan Pulock,25,D,37
826,Tom Pyatt,33,LW,2
827,Mark Pysyk,28,D,11
828,John Quenneville,24,C,1
830,Alan Quine,27,C,6
832,Lukas Radil,29,C,11
833,Alexander Radulov,33,RW,73
834,Brogan Rafferty,24,D,0
835,Michael Raffl,31,LW,20
836,Rickard Rakell,26,C,44
837,Mikko Rantanen,23,RW,87
839,Victor Rask,27,C,6
840,Victor Rask,27,C,3
841,Michael Rasmussen,21,C,18
842,Ty Rattie,27,RW,11
843,Kyle Rau,27,C,1
844,Matt Read,33,RW,1
845,Ryan Reaves,33,RW,20
846,Mike Reilly,26,D,11
848,Sam Reinhart,24,C,68
849,Sheldon Rempal,24,RW,0
850,Anthony Richard,23,C,0
851,Brad Richardson,35,RW,27
852,Tobias Rieder,27,RW,11
853,Morgan Rielly,26,D,72
854,Juuso Riikola,26,D,5
855,Zac Rinaldo,29,LW,3
857,Rasmus Ristolainen,25,D,45
858,Brett Ritchie,26,RW,6
859,Nick Ritchie,24,LW,32
861,Eric Robinson,24,LW,0
862,Jack Rodewald,26,RW,0
863,Evan Rodrigues,26,LW,29
864,Kevin Rooney,26,C,11
865,Calle Rosen,26,D,1
866,Jack Roslovic,23,C,24
867,Antoine Roussel,30,LW,31
868,Carter Rowney,30,RW,22
869,Kevin Roy,26,LW,0
870,Matt Roy,25,LW,8
871,Nicolas Roy,23,C,0
872,Chad Ruhwedel,29,D,2
873,Kris Russell,32,D,16
874,Patrick Russell,27,RW,0
875,Bryan Rust,27,RW,35
876,Jan Rutta,29,D,6
877,Jan Rutta,29,D,2
878,Bobby Ryan,33,RW,42
879,Derek Ryan,33,C,38
880,Joakim Ryan,26,D,8
881,Kerby Rychel,25,LW,0
882,Brandon Saad,27,LW,48
883,Miikka Salomaki,27,RW,8
884,Zach Sanford,25,LW,20
885,Travis Sanheim,24,D,35
886,Steven Santini,25,D,4
888,Ashton Sautner,25,D,1
889,David Savard,29,D,26
890,Luca Sbisa,30,D,1
891,Marco Scandella,30,D,13
892,Colton Sceviour,30,C,15
893,Tim Schaller,29,C,10
894,Mark Scheifele,27,C,86
895,Brayden Schenn,28,C,56
896,Luke Schenn,30,D,0
897,Luke Schenn,30,D,2
898,Nikita Scherbak,24,RW,1
899,Cameron Schilling,31,D,1
900,David Schlemko,32,D,2
901,Jordan Schmaltz,26,D,2
902,Nick Schmaltz,24,C,11
903,Nick Schmaltz,24,C,14
904,Nate Schmidt,28,D,30
906,Jimmy Schuldt,24,D,2
907,Justin Schultz,29,D,15
908,Jaden Schwartz,27,LW,36
909,Brent Seabrook,34,D,30
910,Lukas Sedlak,27,C,6
911,Nick Seeler,26,D,7
912,Tyler Seguin,28,C,81
913,Andrej Sekera,33,D,5
914,Brett Seney,24,LW,13
915,Zach Senyshyn,23,RW,1
916,Mikhail Sergachev,21,D,32
917,Damon Severson,25,D,40
918,Kevin Shattenkirk,31,D,28
919,Andrew Shaw,28,RW,47
920,Riley Sheahan,28,C,9
921,Riley Sheahan,28,C,10
922,Conor Sheary,27,LW,35
923,Kiefer Sherwood,25,RW,13
924,Kiefer Sherwood,25,RW,0
925,Kole Sherwood,23,RW,0
926,Devin Shore,25,C,17
927,Devin Shore,25,C,13
928,Jonas Siegenthaler,22,D,4
929,Dylan Sikura,24,RW,8
930,Jakob Silfverberg,29,RW,46
931,Radim Simek,27,D,9
932,Wayne Simmonds,31,RW,28
933,Wayne Simmonds,31,RW,3
934,Dominik Simon,25,C,28
935,Colton Sissons,26,C,31
936,Jeff Skinner,27,LW,64
937,Brady Skjei,26,D,25
938,Jaccob Slavin,25,D,32
939,Brendan Smith,31,D,13
940,C.J. Smith,25,LW,2
941,Craig Smith,30,RW,39
942,Gemel Smith,26,C,3
943,Gemel Smith,26,C,0
945,Reilly Smith,29,RW,53
946,Zack Smith,32,LW,28
947,Devante Smith-Pelly,27,RW,8
948,Vladimir Sobotka,32,C,13
949,Carl Soderberg,34,C,49
950,Marcus Sorensen,28,LW,31
951,Nikita Soshnikov,26,RW,0
953,Jason Spezza,36,C,27
954,Ryan Spooner,28,C,2
955,Ryan Spooner,28,C,3
956,Ryan Spooner,28,C,4
957,Daniel Sprong,23,RW,4
958,Daniel Sprong,23,RW,20
959,Jared Spurgeon,30,D,43
960,Eric Staal,35,C,52
961,Jordan Staal,31,C,28
962,Marc Staal,33,D,13
963,Drew Stafford,34,RW,13
965,Steven Stamkos,30,C,98
966,Paul Stastny,34,C,42
967,Troy Stecher,26,D,23
968,Sam Steel,22,C,12
969,Alexander Steen,36,LW,30
970,Lee Stempniak,37,RW,0
971,Kevin Stenlund,23,C,0
972,Derek Stepan,29,C,35
973,Chandler Stephenson,25,C,11
974,Riley Stillman,22,D,0
977,Mark Stone,27,RW,62
978,Mark Stone,27,RW,11
979,Michael Stone,29,D,5
980,Anton Stralman,33,D,17
981,Ben Street,33,C,5
982,Dylan Strome,23,C,6
983,Dylan Strome,23,C,52
984,Ryan Strome,26,C,2
985,Ryan Strome,26,C,34
986,Nico Sturm,24,C,0
988,P.K. Subban,30,D,31
989,Libor Sulak,26,D,0
990,Oskar Sundqvist,26,C,32
991,Antti Suomela,26,C,8
992,Andrej Sustr,29,D,0
993,Ryan Suter,35,D,47
994,Brandon Sutter,31,C,6
995,Andrei Svechnikov,20,RW,37
998,Brandon Tanev,28,LW,29
999,Christopher Tanev,30,D,12
1000,Eric Tangradi,31,LW,1
1001,Vladimir Tarasenko,28,RW,70
1002,Tomas Tatar,29,LW,58
1003,John Tavares,29,C,88
1004,Matt Tennyson,29,D,0
1005,Teuvo Teravainen,25,LW,77
1006,Troy Terry,22,RW,13
1007,Josh Teves,25,D,0
1008,Alexandre Texier,20,C,1
1009,Shea Theodore,24,D,37
1010,Robert Thomas,20,C,34
1011,Nate Thompson,35,C,6
1012,Nate Thompson,35,C,7
1013,Tage Thompson,22,RW,12
1014,Chris Thorburn,36,RW,0
1015,Joe Thornton,40,C,52
1016,Chris Tierney,25,C,48
1017,Brady Tkachuk,20,LW,45
1018,Matthew Tkachuk,22,LW,78
1019,Devon Toews,26,D,18
1020,Jonathan Toews,31,C,83
1021,Tyler Toffoli,27,RW,34
1022,Eeli Tolvanen,20,RW,2
1023,Dominic Toninato,26,C,1
1024,Vincent Trocheck,26,C,35
1025,Zach Trotman,29,D,1
1026,Jacob Trouba,26,D,50
1027,Alex Tuch,23,RW,52
1028,Dominic Turgeon,24,C,0
1029,Kyle Turris,30,C,23
1031,Urho Vaakanainen,21,D,0
1032,Juuso Valimaki,21,D,3
1033,Thomas Vanek,36,LW,36
1034,James van Riemsdyk,30,LW,52
1035,Trevor van Riemsdyk,28,D,14
1037,Philip Varone,29,C,7
1039,Sami Vatanen,28,D,17
1040,Frank Vatrano,26,C,39
1041,Max Veronneau,24,RW,5
1042,Kristian Vesalainen,20,LW,1
1043,Jimmy Vesey,26,LW,35
1044,Jake Virtanen,23,RW,25
1045,Marc-Edouard Vlasic,33,D,26
1046,Jakub Voracek,30,RW,67
1047,Mikhail Vorobyev,23,C,2
1048,Jakub Vrana,24,LW,47
1049,Austin Wagner,22,LW,22
1050,Chris Wagner,28,RW,19
1051,Nathan Walker,26,LW,1
1052,Sean Walker,25,D,10
1053,Lucas Wallmark,24,C,28
1055,Austin Watson,28,LW,16
1056,Jordan Weal,28,C,9
1057,Jordan Weal,28,C,2
1058,Jordan Weal,28,C,10
1059,Shea Weber,34,D,33
1060,Yannick Weber,31,D,8
1061,MacKenzie Weegar,26,D,15
1062,Dale Weise,31,RW,12
1063,Dale Weise,31,RW,0
1064,Andy Welinski,26,D,4
1065,Alexander Wennberg,25,C,25
1066,Zach Werenski,22,D,44
1067,Blake Wheeler,33,RW,94
1068,Colin White,23,C,41
1069,Colton White,22,D,0
1070,Chris Wideman,30,D,5
1071,Chris Wideman,30,D,2
1072,Chris Wideman,30,D,0
1073,Justin Williams,38,RW,54
1074,Colin Wilson,30,C,27
1075,Garrett Wilson,29,LW,8
1076,Scott Wilson,27,LW,3
1077,Tom Wilson,26,RW,40
1078,Luke Witkowski,30,RW,2
1079,Christian Wolanin,25,D,12
1080,Miles Wood,24,LW,24
1081,Egor Yakovlev,28,D,8
1082,Kailer Yamamoto,21,RW,2
1083,Keith Yandle,33,D,63
1084,Pavel Zacha,23,C,28
1085,Filip Zadina,20,RW,3
1086,Nikita Zadorov,25,D,14
1087,Nikita Zaitsev,28,D,14
1088,Travis Zajac,34,C,47
1089,Jakub Zboril,23,D,0
1090,Mika Zibanejad,27,C,76
1091,Mats Zuccarello,32,LW,37
1092,Mats Zuccarello,32,LW,3
1093,Jason Zucker,28,LW,42
1094,Valentin Zykov,24,LW,3
1095,Valentin Zykov,24,LW,0
1096,Valentin Zykov,24,LW,3
1097,Rodrigo Abols,24,C,0
1098,Sebastian Aho,24,D,0
1099,John Albert,31,C,0
1100,Frederic Allard,22,D,0
1101,Sam Anas,26,C,0
1102,Mikey Anderson,20,D,0
1103,Andy Andreoff,28,LW,0
1104,Anthony Angello,24,C,0
1105,Victor Antipin,27,D,0
1106,Jonathan Aspirot,20,D,0
1107,Rasmus Asplund,22,C,0
1108,Riley Barber,26,RW,0
1109,Cole Bardreau,26,C,0
1110,Cody Bass,33,C,0
1111,Kyle Bauman,27,C,0
1112,Ethan Bear,22,D,0
1113,Nicolas Beaudin,20,D,0
1114,Jack Becker,22,C,0
1115,Kieffer Bellows,21,LW,0
1116,Emil Bemstrom,20,C,0
1117,Andre Benoit,36,D,0
1118,Simon Benoit,21,D,0
1119,Tyler Benson,22,LW,0
1121,Lean Bergmann,21,C,0
1122,Jacob Bernard-Docker,19,D,0
1123,Steve Bernier,35,RW,0
1125,Chris Bigras,25,D,0
1126,Jake Bischoff,25,D,0
1127,Paul Bittner,23,LW,0
1128,Tobias Bjornfot,19,D,0
1129,Joachim Blichfeld,21,RW,0
1130,Michael Blunden,33,RW,0
1131,Adam Boqvist,19,D,0
1132,Jesper Boqvist,21,C,0
1133,Andreas Borgman,24,D,0
1134,Lance Bouma,30,LW,0
1135,Rene Bourque,38,LW,0
1136,Jeremy Bracco,23,RW,0
1137,Chris Breen,30,D,0
1138,Alex Broadhurst,27,C,0
1139,Terry Broadhurst,31,LW,0
1140,Adam Brooks,23,C,0
1141,Patrick Brown,27,C,0
1142,Sergei Brylin,46,C,0
1143,Connor Bunnaman,22,C,0
1144,Brayden Burke,23,LW,0
1145,Alexander Burmistrov,28,C,0
1146,Nicholas Caamano,21,RW,0
1147,Mike Cammalleri,37,C,0
1148,Patrick Cannone,33,C,0
1149,Michael Carcone,23,LW,0
1150,Greg Carey,30,C,0
1151,Matt Carkner,39,D,0
1152,Lucas Carlsson,22,D,0
1153,Alexandre Carrier,23,D,0
1154,Austin Carroll,26,RW,0
1155,Ivan Chekhovich,21,LW,0
1156,Andrei Chibisov,27,LW,0
1157,Ivan Chukarov,25,D,0
1158,Kale Clague,21,D,0
1159,Christopher Clapperton,26,LW,0
1160,Chris Clark,44,RW,0
1161,Kody Clark,20,RW,0
1162,Ryane Clowe,37,LW,0
1163,Dylan Coghlan,22,D,0
1164,Ryan Collins,23,D,0
1165,Chris Conner,36,RW,0
1167,Frank Corrado,27,D,0
1168,David Cotton,22,C,0
1169,Kyle Criscuolo,27,C,0
1170,Tommy Cross,30,D,0
1171,Kyle Cumiskey,33,D,0
1172,Craig Cunningham,29,RW,0
1173,Kevin Czuczman,29,D,0
1174,Kirby Dach,19,C,0
1176,Jonathan Davidsson,22,RW,0
1177,Rob Davison,39,D,0
1178,Logan Day,25,D,0
1179,David Desharnais,33,C,0
1180,Nick DeSimone,25,D,0
1182,Josh Dickinson,22,C,0
1183,Josiah Didier,27,D,0
1184,Emil Djuse,26,D,0
1185,Noah Dobson,20,D,0
1186,Jacob Doty,26,RW,0
1187,Jack Dougherty,23,D,0
1189,Chris Drury,43,C,0
1190,Gabriel Dumont,29,C,0
1191,Sean Durzi,21,D,0
1192,Joseph Duszak,22,D,0
1193,Patrick Dwyer,36,RW,0
1194,Nick Ebert,25,D,0
1195,Turner Elson,27,LW,0
1196,Hudson Elynuik,22,C,0
1197,Alexei Emelin,33,D,0
1198,Pierre Engvall,23,LW,0
1199,Jake Evans,23,C,0
1200,Joel Farabee,20,LW,0
1201,Hudson Fasching,24,RW,0
1202,Mark Fayne,32,D,0
1203,Martin Fehervary,20,D,0
1205,Mario Ferraro,21,D,0
1206,Giovanni Fiore,23,LW,0
1207,Mike Fisher,39,C,0
1208,Cavan Fitzgerald,23,D,0
1209,Ryan Fitzgerald,25,C,0
1210,Cale Fleury,21,D,0
1211,Brian Flynn,31,C,0
1212,Cal Foote,21,D,0
1214,Adam Fox,22,D,0
1215,Mitch Fritz,39,LW,0
1216,Byron Froese,29,C,0
1217,Morgan Frost,20,C,0
1218,Jesse Gabrielle,22,LW,0
1220,Tyler Ganly,25,D,0
1221,Rhett Gardner,24,C,0
1222,Julien Gauthier,22,RW,0
1223,Vladislav Gavrikov,24,D,0
1224,Glenn Gawdin,23,C,0
1225,Luke Gazdic,30,LW,0
1226,Morgan Geekie,21,C,0
1227,Nathan Gerbe,32,C,0
1228,Shane Gersich,23,LW,0
1230,Cody Glass,21,C,0
1231,Josh Gorges,35,D,0
1232,Petter Granberg,27,D,0
1233,Tyler Graovac,26,C,0
1234,Noah Gregor,21,C,0
1235,Alexandre Grenier,28,RW,0
1236,Seth Griffith,27,C,0
1237,Mikhail Grigorenko,25,C,0
1239,Jordan Gross,24,D,0
1241,Nikita Gusev,27,LW,0
1242,David Gust,26,RW,0
1243,David Gustafsson,20,C,0
1246,Gaetan Haas,28,C,0
1247,Brandon Hagel,21,LW,0
1248,Jani Hakanpaa,28,D,0
1249,Jayden Halbgewachs,23,LW,0
1250,Wacey Hamilton,29,RW,0
1252,Jansen Harkins,22,C,0
1253,Scott Hartnell,38,LW,0
1254,Barrett Hayton,19,C,0
1255,Josh Healey,25,D,0
1256,Ville Heinola,19,D,0
1257,Seth Helgeson,29,D,0
1259,Brandon Hickey,24,D,0
1260,Matthew Highmore,24,C,0
1261,Blake Hillman,24,D,0
1262,Connor Hobbs,23,D,0
1263,Patrick Holland,28,C,0
1264,Mac Hollowell,21,D,0
1265,Cameron Hughes,23,C,0
1266,Jack Hughes,18,C,0
1267,Bokondji Imama,23,LW,0
1269,Doug Janik,40,D,0
1270,Tanner Jeannot,22,LW,0
1271,Nicklas Jensen,27,RW,0
1272,Lucas Johansen,22,D,0
1274,Stephen Johns,28,D,0
1275,Ryan Johnson,43,C,0
1276,Ben Jones,21,C,0
1277,Connor Jones,29,C,0
1278,Max Jones,22,LW,0
1279,Axel Jonsson-Fjallby,22,LW,0
1280,Pierre-Olivier Joseph,20,D,0
1281,Tomas Jurco,27,RW,0
1283,Kaapo Kakko,19,RW,0
1285,Keegan Kanzig,25,D,0
1286,Erik Karlsson,25,LW,0
1287,Pavel Karnaukhov,23,LW,0
1289,David Kase,23,RW,0
1291,Joey Keane,20,D,0
1292,Bracken Kearns,38,C,0
1293,Joel Kellman,25,C,0
1294,Parker Kelly,20,C,0
1295,Tanner Kero,27,C,0
1296,Alex Khokhlachev,26,C,0
1298,Jason King,38,RW,0
1299,Teemu Kivihalme,24,D,0
1300,Joel Kiviranta,24,LW,0
1302,Kevin Klein,35,D,0
1303,Morgan Klimchuk,25,LW,0
1304,Carl Klingberg,29,LW,0
1305,Eric Knodel,29,D,0
1306,Nikolai Knyzhov,22,D,0
1307,Otto Koivula,21,LW,0
1308,Joona Koppanen,22,C,0
1310,Egor Korshkov,23,LW,0
1311,Klim Kostin,20,RW,0
1312,Johnathan Kovacevic,22,D,0
1313,Vitali Kravtsov,20,RW,0
1314,Dominik Kubalik,24,LW,0
1315,Rasmus Kupari,20,C,0
1316,Pierre-Cedric Labrie,33,LW,0
1317,Cedric Lacroix,25,LW,0
1318,Sam Lafferty,25,C,0
1319,William Lagesson,24,D,0
1320,Brooks Laich,36,C,0
1321,Tristin Langan,21,C,0
1324,Michael Latta,28,C,0
1325,Jakub Lauko,20,C,0
1326,Jay Leach,40,D,0
1327,Taylor Leier,26,LW,0
1328,Brett Lernout,24,D,0
1329,Otto Leskinen,23,D,0
1330,Maxim Letunov,24,C,0
1331,Mike Liambas,31,LW,0
1332,Jakob Lilja,26,LW,0
1333,Timothy Liljegren,20,D,0
1334,Tobias Lindberg,24,RW,0
1335,Petteri Lindbohm,26,D,0
1336,Jesper Lindgren,22,D,0
1337,Gustav Lindstrom,21,D,0
1338,Viktor Loov,27,D,0
1339,Steven Lorentz,24,C,0
1340,Keegan Lowe,27,D,0
1341,Jake Lucchini,24,LW,0
1342,Aaron Luchuk,23,C,0
1343,Mario Lucia,26,LW,0
1344,Eetu Luostarinen,21,C,0
1345,Joona Luoto,22,LW,0
1346,Roman Lyubimov,28,LW,0
1347,Ryan MacInnis,24,C,0
1348,Gregor MacLeod,21,C,0
1349,Cale Makar,21,D,0
1350,Beck Malenstyn,22,LW,0
1351,Sean Malone,24,C,0
1352,Mason Marchment,24,LW,0
1353,John Marino,22,D,0
1356,Adam Mascherin,21,LW,0
1357,Stefan Matteau,26,LW,0
1358,Gerald Mayhew,27,C,0
1359,Gerry Mayhew,27,RW,0
1360,Josh McArdle,25,D,0
1361,Michael McCarron,25,RW,0
1362,John McCarthy,33,LW,0
1363,Colin McDonald,35,RW,0
1364,Evan McEneny,25,D,0
1365,Tim McGauley,24,C,0
1366,Curtis McKenzie,29,LW,0
1367,Roland McKeown,24,D,0
1368,Mitch McLain,26,C,0
1369,Dylan McLaughlin,24,C,0
1370,Ryan McLeod,20,C,0
1371,Mark McNeill,27,C,0
1373,Jayson Megna,30,C,0
1374,Julian Melchiori,28,D,0
1375,Nicolas Meloche,22,D,0
1376,Brennan Menell,22,D,0
1377,Michael Mersch,27,C,0
1380,Keaton Middleton,22,D,0
1381,Ilya Mikheyev,25,RW,0
1382,Niko Mikkola,23,D,0
1383,Andrew Miller,31,C,0
1384,Drew Miller,36,LW,0
1385,Griffen Molino,26,C,0
1386,Matt Moulson,36,LW,0
1387,Vojtech Mozik,27,D,0
1388,Chris Mueller,34,C,0
1389,Trevor Murphy,24,D,0
1390,Aaron Ness,29,D,0
1391,Scott Nichol,45,C,0
1393,Josh Norris,20,C,0
1394,Joakim Nygard,27,LW,0
1395,Liam O'Brien,25,C,0
1398,Rob O'Gara,26,D,0
1399,Steve Oleksy,34,D,0
1400,Mathieu Olivier,23,RW,0
1401,Gustav Olofsson,25,D,0
1402,Ryan Olsen,26,C,0
1403,Cal O'Reilly,33,C,0
1404,Nathan Paetsch,37,D,0
1405,Ryan Parent,33,D,0
1406,Chase Pearson,22,C,0
1407,Andrew Peeke,22,D,0
1408,Francis Perron,24,LW,0
1409,Toby Petersen,41,C,0
1410,Andre Petersson,29,RW,0
1411,Matthew Phillips,22,C,0
1412,Garrett Pilon,22,C,0
1413,Brian Pinho,24,C,0
1414,Austin Poganski,24,RW,0
1415,Emile Poirier,25,LW,0
1416,Tucker Poolman,26,D,0
1417,David Pope,25,LW,0
1418,Kevin Porter,34,C,0
1419,Andrew Poturalski,26,C,0
1421,Benoit Pouliot,33,LW,0
1422,Daniel Pribyl,27,C,0
1424,Chase Priskie,24,D,0
1425,Nikolai Prokhorkin,26,LW,0
1427,Ethan Prow,27,D,0
1428,Cliff Pu,21,RW,0
1429,Teemu Pulkkinen,28,LW,0
1430,David Quenneville,22,D,0
1431,Gage Quinney,24,C,0
1432,Taylor Raddysh,22,RW,0
1433,John Ramage,29,D,0
1434,Tyler Randell,28,RW,0
1435,Zach Redmond,31,D,0
1436,Matt Register,30,D,0
1437,Brent Regner,30,C,0
1438,Mitch Reinke,24,D,0
1439,Dennis Robertson,28,D,0
1440,Jason Robertson,20,LW,0
1441,Buddy Robinson,28,RW,0
1443,Jeremy Roy,22,D,0
1444,Kristians Rubins,22,D,0
1445,German Rubtsov,21,C,0
1446,Steven Ruggiero,23,D,0
1447,Robbie Russo,27,D,0
1448,Aleksi Saarela,23,C,0
1449,Scott Sabourin,27,RW,0
1450,Jack Sadek,22,D,0
1452,Rasmus Sandin,20,D,0
1453,Cole Schneider,29,LW,0
1454,Justin Scott,24,C,0
1456,Tom Sestito,32,LW,0
1457,Ben Sexton,28,C,0
1458,Logan Shaw,27,RW,0
1459,Mason Shaw,21,LW,0
1460,Wiley Sherman,24,D,0
1462,Hunter Shinkaruk,25,C,0
1463,Drew Shore,29,C,0
1464,Nicholas Shore,27,C,0
1465,Patrick Sieloff,25,D,0
1466,Tyler Sikura,27,C,0
1467,Zach Sill,31,C,0
1468,Dillon Simpson,27,D,0
1470,Spencer Smallman,23,RW,0
1471,Dalton Smith,27,LW,0
1472,Givani Smith,22,RW,0
1474,Trevor Smith,35,C,0
1475,Tim Soderlund,22,LW,0
1477,Carson Soucy,25,D,0
1478,Blake Speers,23,C,0
1479,Logan Stanley,21,D,0
1480,Ryan Stanton,30,D,0
1482,Oskar Steen,22,C,0
1483,Devante Stephens,23,D,0
1484,Mitchell Stephens,23,C,0
1485,John Stevens,26,C,0
1486,Luke Stevens,23,LW,0
1487,Nolan Stevens,23,C,0
1488,Chris Stewart,32,RW,0
1489,Clayton Stoner,35,D,0
1490,Brian Strait,32,D,0
1491,Marian Studenic,21,RW,0
1492,Jack Studnicka,21,C,0
1493,Steve Sullivan,45,LW,0
1494,Brett Sutter,32,C,0
1495,Nick Suzuki,20,C,0
1496,Evgeny Svechnikov,23,LW,0
1497,Viktor Svedberg,28,D,0
1498,Jordan Szwarz,28,RW,0
1499,Alex Tanguay,40,LW,0
1500,Matt Taormina,33,D,0
1501,Daniil Tarasov,28,RW,0
1502,Chris Terry,31,LW,0
1503,Ben Thomas,23,D,0
1504,Ben Thomson,27,LW,0
1505,Calvin Thurkauf,22,LW,0
1506,Dmytro Timashov,23,LW,0
1507,Conor Timmins,21,D,0
1508,Jarred Tinordi,28,D,0
1509,Owen Tippett,21,RW,0
1510,Nathan Todd,24,C,0
1512,Sergey Tolchinsky,25,LW,0
1513,Yakov Trenin,23,C,0
1514,Alexander True,22,C,0
1515,Nikita Tryamkin,25,C,0
1516,Joni Tuulola,24,D,0
1517,Carsen Twarynski,22,LW,0
1518,T.J. Tynan,28,C,0
1519,Dominik Uher,27,C,0
1521,Rinat Valiev,24,D,0
1523,Mike Vecchione,27,C,0
1524,Lukas Vejdemo,24,C,0
1525,Hayden Verbeek,22,C,0
1526,Carter Verhaeghe,24,C,0
1527,Nolan Vesey,25,LW,0
1528,Linden Vey,28,RW,0
1529,Gabriel Vilardi,20,C,0
1531,Alexander Volkov,22,LW,0
1532,Viatcheslav Voynov,30,D,0
1533,Ryan Wagner,24,C,0
1534,Oliver Wahlstrom,19,RW,0
1535,Jake Walman,24,D,0
1536,David Warsofsky,29,D,0
1538,Anton Wedin,27,LW,0
1540,Ryan White,32,C,0
1541,Zach Whitecloud,23,D,0
1542,Steve Whitney,29,RW,0
1543,Manuel Wiederer,23,RW,0
1545,Josh Wilkins,22,C,0
1546,Colby Williams,25,D,0
1547,Eddie Wittchow,27,D,0
1549,Kyle Wood,23,D,0
1550,Brendan Woods,27,C,0
1551,Tyler Wotherspoon,27,D,0
1552,Bogdam Yakimov,25,C,0
1553,Nail Yakupov,26,RW,0
1554,Alexander Yelesin,24,D,0
1555,Jesse Ylonen,20,RW,0
1556,Danil Yurtaykin,22,LW,0
1558,Cooper Zech,21,D,0
1559,Harrison Zolnierczyk,32,LW,0
