,Name,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,Position,Points
0,Justin Abdelkader,33,"Muskegon, MI",USA,,,,,,LW,19
1,Pontus Aberg,26,Stockholm,Sweden,,,,,,LW,19
2,Pontus Aberg,26,Stockholm,Sweden,,,,,,LW,6
3,Vitaly Abramov,21,Chelyabinsk,Russia,,,,,,RW,0
4,Noel Acciari,28,"Johnston, RI",USA,,,,,,C,14
5,Kenny Agostino,27,"Morristown, NJ",USA,,,,,,LW,11
6,Kenny Agostino,27,"Morristown, NJ",USA,,,,,,LW,13
7,Andrew Agozzino,29,"Kleinburg, ON",Canada,,,,,,LW,2
8,Sebastian Aho,24,Umea,Sweden,,,,,,C,84
9,Jake Allen,29,"Fredericton, NB",Canada,,,,,,D,0
10,Mark Alt,28,"St. Paul, MN",USA,,,,,,D,0
11,Karl Alzner,31,"Burnaby, BC",Canada,,,,,,C,1
12,Michael Amadio,23,"Sault Ste. Marie, ON",Canada,,,,,,RW,14
13,Frederik Andersen,30,Herning,Denmark,,,,,,RW,1
14,Craig Anderson,38,"Park Ridge, IL",USA,,,,,,C,2
15,Joey Anderson,21,"Roseville, MN",USA,,,,,,C,8
16,Josh Anderson,21,"Nanaimo, BC",Canada,,,,,,D,47
17,Jaret Anderson-Dolan,20,"Calgary, AB",Canada,,,,,,RW,1
18,Lias Andersson,21,Smogen,Sweden,,,,,,C,6
19,Rasmus Andersson,23,Malmö,Sweden,,,,,,C,20
20,Sven Andrighetto,27,Zurich,Switzerland,,,,,,RW,17
21,Artem Anisimov,31,Yaroslavl,Russia,,,,,,RW,37
22,Mason Appleton,24,"Green Bay, WI",USA,,,,,,RW,11
23,Darren Archibald,30,"Newmarket, ON",Canada,,,,,,RW,2
24,Darren Archibald,30,"Newmarket, ON",Canada,,,,,,RW,0
25,Josh Archibald,27,"Regina, SK",Canada,,,,,,C,22
26,Joel Armia,26,Pori,Finland,,,,,,C,23
27,Viktor Arvidsson,27,Skellefteå,Sweden,,,,,,RW,48
28,Zach Aston-Reese,25,"Staten Island, NY",USA,,,,,,RW,17
29,Andreas Athanasiou,25,"Woodbridge, ON",Canada,,,,,,RW,54
30,Cam Atkinson,30,"Riverside, CT",USA,,,,,,C,69
31,Nicolas Aube-Kubel,23,"Slave Lake, AB",Canada,,,,,,C,0
32,Richard Bachman,32,"Salt Lake City, UT",USA,,,,,,LW,0
33,David Backes,35,"Minneapolis, MN",USA,,,,,,RW,20
34,Mikael Backlund,31,Vasteras,Sweden,,,,,,RW,47
35,Nicklas Backstrom,32,Gävle,Sweden,,,,,,LW,74
36,Sven Baertschi,27,Bern,Switzerland,,,,,,C,14
37,Josh Bailey,30,"Bowmanville, ON",Canada,,,,,,D,56
38,Justin Bailey,24,"Buffalo, NY",USA,,,,,,C,1
39,Rudolfs Balcers,23,Liepaja,Latvia,,,,,,D,15
40,Ivan Barbashev,24,Moscow,Russia,,,,,,D,28
41,Mark Barberio,30,"Montreal, QC",Canada,,,,,,C,1
42,Aleksander Barkov,24,Tampere,Finland,,,,,,RW,98
43,Tyson Barrie,28,"Victoria, BC",Canada,,,,,,RW,59
44,Matt Bartkowski,31,"Pittsburgh, PA",USA,,,,,,D,1
45,Mathew Barzal,22,"Coquitlam, BC",Canada,,,,,,C,62
46,Nathan Bastian,22,"Kitchener, ON",Canada,,,,,,D,5
47,Drake Batherson,21,"Fort Wayne, IN",USA,,,,,,D,9
48,Gavin Bayreuther,25,"Canaan, NH",USA,,,,,,D,5
49,Jay Beagle,34,"Calgary, AB",Canada,,,,,,LW,13
50,Jake Bean,21,"Calgary, AB",Canada,,,,,,LW,0
51,Nathan Beaulieu,27,"Strathroy, ON",Canada,,,,,,C,7
52,Nathan Beaulieu,27,"Strathroy, ON",Canada,,,,,,D,5
53,Anthony Beauvillier,22,"Sorel-Tracy, QC",Canada,,,,,,LW,28
54,Matt Beleskey,31,"Windsor, ON",Canada,,,,,,D,1
55,Pierre-Edouard Bellemare,35,Le Blanc-Mesnil,France,,,,,,C,15
56,Louie Belpedio,23,"Chicago, IL",USA,,,,,,D,0
57,Jamie Benn,30,"Victoria, BC",Canada,,,,,,C,53
58,Jordie Benn,32,"Victoria, BC",Canada,,,,,,C,22
59,Sam Bennett,23,"Holland Landing, ON",Canada,,,,,,LW,27
60,Matt Benning,25,"Edmonton, AB",Canada,,,,,,D,17
61,Patrice Bergeron,34,"Ancienne-Lorette, QC",Canada,,,,,,C,79
62,Patrik Berglund,31,Västerås,Sweden,,,,,,D,4
63,Jonathan Bernier,31,"Laval, QC",Canada,,,,,,D,0
64,Tyler Bertuzzi,25,"Sudbury, ON",Canada,,,,,,LW,47
65,Alex Biega,32,"Montreal, QC",Canada,,,,,,RW,16
66,Jordan Binnington,26,"Richmond Hill, ON",Canada,,,,,,C,0
67,Ben Bishop,33,"Denver, CO",USA,,,,,,C,2
68,Clark Bishop,24,"St. John's, NL",Canada,,,,,,C,3
69,Anthony Bitetto,29,"Island Park, NY",USA,,,,,,LW,3
70,Anthony Bitetto,29,"Island Park, NY",USA,,,,,,C,0
71,Anders Bjork,23,"Mequon, WI",USA,,,,,,C,3
72,Oliver Bjorkstrand,25,Herning,Denmark,,,,,,LW,36
73,Nick Bjugstad,27,"Minneapolis, MN",USA,,,,,,C,12
74,Nick Bjugstad,27,"Minneapolis, MN",USA,,,,,,LW,14
75,Colin Blackwell,27,"Lawrence, MA",USA,,,,,,RW,0
76,Mackenzie Blackwood,23,"Thunder Bay, ON",Canada,,,,,,D,0
77,Sammy Blais,23,"Montmagny, QC",Canada,,,,,,C,4
78,Joseph Blandisi,25,"Markham, ON",USA,,,,,,D,0
79,Joseph Blandisi,25,"Markham, ON",USA,,,,,,C,0
80,Anton Blidh,25,Molnlycke,Sweden,,,,,,D,0
81,Teddy Blueger,25,Riga,Latvia,,,,,,D,10
82,Sergei Bobrovsky,31,Novokuznetsk,Russia,,,,,,D,0
83,Mikkel Boedker,30,Brondby,Denmark,,,,,,C,36
84,Brock Boeser,23,"Burnsville, MN",USA,,,,,,LW,56
85,Zach Bogosian,29,"Massena, NY",USA,,,,,,D,19
86,Nick Bonino,31,"Hartford, CT",USA,,,,,,D,35
87,William Borgen,23,"Moorhead, MN",USA,,,,,,D,0
88,Henrik Borgstrom,22,Helsinki,Finland,,,,,,D,18
89,Mark Borowiecki,30,"Ottawa, ON",Canada,,,,,,C,5
90,Robert Bortuzzo,31,"Thunder Bay, ON",Canada,,,,,,C,10
91,Evan Bouchard,20,"Oakville, ON",Canada,,,,,,C,1
92,Reid Boucher,26,"Grand Ledge, MI",USA,,,,,,C,0
93,Gabriel Bourque,29,"Rimouski, QC",Canada,,,,,,D,8
94,Jay Bouwmeester,36,"Edmonton, AB",Canada,,,,,,C,17
95,Landon Bow,24,"St. Albert, AB",Canada,,,,,,C,0
96,Madison Bowey,24,"Winnipeg, MB",Canada,,,,,,C,6
97,Madison Bowey,24,"Winnipeg, MB",Canada,,,,,,LW,4
98,Johnny Boychuk,36,"Edmonton, AB",Canada,,,,,,D,19
99,Travis Boyd,26,"Hopkins, MN",USA,,,,,,LW,20
100,Brian Boyle,35,"Hingham, MA",USA,,,,,,D,19
101,Brian Boyle,35,"Hingham, MA",USA,,,,,,D,5
102,Kevin Boyle,27,"Manalapan, NJ",USA,,,,,,D,0
103,Tyler Bozak,34,"Regina, SK",Canada,,,,,,D,39
104,Erik Brannstrom,20,Almesakra,Sweden,,,,,,C,0
105,Derick Brassard,32,"Hull, QC",Canada,,,,,,C,15
106,Derick Brassard,32,"Hull, QC",Canada,,,,,,RW,4
107,Derick Brassard,32,"Hull, QC",Canada,,,,,,RW,4
108,Jesper Bratt,21,Stockholm,Sweden,,,,,,RW,33
109,Justin Braun,33,"Minneapolis, MN",USA,,,,,,D,16
110,Connor Brickley,28,"Everett, MA",USA,,,,,,RW,3
111,Daniel Brickley,25,"Salt Lake City, UT",USA,,,,,,C,1
112,Guillaume Brisebois,22,"St. Hilaire, QC",Canada,,,,,,LW,0
113,TJ Brodie,29,"Chatham, ON",Canada,,,,,,LW,34
114,Jonas Brodin,26,Karlstad,Sweden,,,,,,LW,18
115,Kyle Brodziak,35,"St. Paul, AB",Canada,,,,,,D,9
116,Jonny Brodzinski,26,"Ham Lake, MN",USA,,,,,,D,3
117,Laurent Brossoit,27,"Port Alberni, BC",Canada,,,,,,D,0
118,Troy Brouwer,34,"Vancouver, BC",Canada,,,,,,D,21
119,Connor Brown,26,"Toronto, ON",Canada,,,,,,D,29
120,Dustin Brown,35,"Ithaca, NY",USA,,,,,,LW,53
121,Josh Brown,26,"London, ON",Canada,,,,,,C,2
122,J.T. Brown,29,"Burnsville, MN",USA,,,,,,C,8
123,Logan Brown,22,"Raleigh, NC",USA,,,,,,RW,0
124,Pavel Buchnevich,24,Cherepovets,Russia,,,,,,LW,39
125,Peter Budaj,37,Banská Bystrica,Slovakia,,,,,,D,0
126,Michael Bunting,24,"Scarborough, ON",Canada,,,,,,C,1
127,Andre Burakovsky,25,Klagenfurt,Austria,,,,,,C,25
128,Erik Burgdoerfer,31,"Abington, PA",USA,,,,,,D,0
129,Brent Burns,35,"Barrie, ON",Canada,,,,,,D,84
130,Will Butcher,25,"Sun Prairie, WI",USA,,,,,,D,31
131,Chris Butler,33,"St. Louis, MO",USA,,,,,,C,2
132,Dustin Byfuglien,35,"Roseau, MN",USA,,,,,,LW,32
133,Paul Byron,30,"Ottawa, ON",Canada,,,,,,D,31
134,Drake Caggiula,25,"Pickering, ON",Canada,,,,,,D,11
135,Drake Caggiula,25,"Pickering, ON",Canada,,,,,,C,14
136,Ryan Callahan,35,"Rochester, NY",USA,,,,,,D,17
137,Matt Calvert,30,"Brandon, MB",Canada,,,,,,LW,26
138,Jack Campbell,28,"Port Huron, MI",USA,,,,,,C,1
139,Kyle Capobianco,22,"Mississauga, ON",Canada,,,,,,C,0
140,Paul Carey,31,"Weymouth, MA",USA,,,,,,C,0
141,Paul Carey,31,"Weymouth, MA",USA,,,,,,D,0
142,Brandon Carlo,23,"Colorado Springs, CO",USA,,,,,,LW,10
143,John Carlson,30,"Natick, MA",USA,,,,,,D,70
144,Gabriel Carlsson,23,Orebro,Sweden,,,,,,D,0
145,Ryan Carpenter,29,"Oviedo, FL",USA,,,,,,C,18
146,Daniel Carr,28,"Sherwood Park, AB",Canada,,,,,,D,1
147,Connor Carrick,26,"Orland Park, IL",USA,,,,,,C,4
148,Connor Carrick,26,"Orland Park, IL",USA,,,,,,D,7
149,Sam Carrick,28,"Markham, ON",USA,,,,,,D,1
150,Trevor Carrick,25,"Stouffville, ON",Canada,,,,,,RW,0
151,William Carrier,25,"LaSalle, QC",Canada,,,,,,C,9
152,Jeff Carter,35,"London, ON",Canada,,,,,,D,34
153,Colby Cave,25,"North Battleford, SK",Canada,,,,,,D,5
154,Colby Cave,25,"North Battleford, SK",Canada,,,,,,C,3
155,Cody Ceci,26,"Ottawa, ON",Canada,,,,,,C,27
156,Peter Cehlarik,24,Silina,Slovakia,,,,,,C,6
157,Erik Cernak,22,Kosice,Slovakia,,,,,,D,16
158,Thomas Chabot,23,"Sainte-Marie, QC",Canada,,,,,,D,55
159,Michael Chaput,28,"Ile Bizard, QC",Canada,,,,,,LW,5
160,Zdeno Chara,43,Trencin,Slovakia,,,,,,D,14
161,Rourke Chartier,24,"Saskatoon, SK",Canada,,,,,,RW,1
162,Jake Chelios,29,"Bloomfield Hills, MI",USA,,,,,,D,0
163,Ben Chiarot,28,"Hamilton, ON",Canada,,,,,,C,21
164,Alex Chiasson,29,"Montreal, QC",Canada,,,,,,C,40
165,Filip Chlapik,22,Prague,Czech Republic,,,,,,D,1
166,Dennis Cholowski,22,"Langley, BC",Canada,,,,,,C,16
167,Jakob Chychrun,22,"Boca Raton, FL",USA,,,,,,LW,20
168,Filip Chytil,20,Kromeriz,Czech Republic,,,,,,LW,23
169,Anthony Cirelli,22,"Etobicoke, ON",Canada,,,,,,LW,39
170,Casey Cizikas,29,"Toronto, ON",Canada,,,,,,C,33
171,Fredrik Claesson,27,Stockholm,Sweden,,,,,,RW,6
172,Adam Clendening,27,"Niagara Falls, NY",USA,,,,,,D,0
173,Kyle Clifford,29,"Ayr, ON",Canada,,,,,,RW,22
174,Connor Clifton,24,"Long Branch, NJ",USA,,,,,,LW,1
175,Cal Clutterbuck,32,"Welland, ON",Canada,,,,,,C,23
176,Braydon Coburn,35,"Shaunavon, SK",Canada,,,,,,C,23
177,Andrew Cogliano,32,"Toronto, ON",Canada,,,,,,C,11
178,Andrew Cogliano,32,"Toronto, ON",Canada,,,,,,C,6
179,Ian Cole,31,"Ann Arbor, MI",USA,,,,,,C,15
180,Blake Coleman,28,"Plano, TX",USA,,,,,,C,37
181,Blake Comeau,34,"Meadow Lake, SK",Canada,,,,,,RW,18
182,J.T. Compher,25,"Northbrook, IL",USA,,,,,,C,32
183,Eric Comrie,24,"Edmonton, AB",Canada,,,,,,LW,0
184,Max Comtois,21,"Longueuil, QC",Canada,,,,,,C,7
185,Cory Conacher,30,"Burlington, ON",Canada,,,,,,RW,0
186,Mike Condon,29,"Holliston, MA",USA,,,,,,C,0
187,Erik Condra,33,"Trenton, MI",USA,,,,,,RW,1
188,Kevin Connauton,30,"Edmonton, AB",Canada,,,,,,D,8
189,Brett Connolly,27,"Campbell River, BC",Canada,,,,,,D,46
190,Kyle Connor,23,"Shelby Township, MI",USA,,,,,,LW,66
191,Phoenix Copley,28,"North Pole, AK",USA,,,,,,D,1
192,Andrew Copp,25,"Ann Arbor, MI",USA,,,,,,C,25
193,Nick Cousins,26,"Belleville, ON",Canada,,,,,,C,27
194,Logan Couture,31,"Guelph, ON",Canada,,,,,,C,70
195,Sean Couturier,27,"Phoenix, AZ",USA,,,,,,C,77
196,Charlie Coyle,28,"E. Weymouth, MA",USA,,,,,,D,28
197,Charlie Coyle,28,"E. Weymouth, MA",USA,,,,,,C,6
198,Adam Cracknell,34,"Prince Albert, SK",Canada,,,,,,C,0
199,Corey Crawford,35,"Montreal, QC",Canada,,,,,,D,4
200,Sidney Crosby,32,"Cole Harbour, NS",Canada,,,,,,LW,103
201,Lawson Crouse,22,"Mt. Brydges, ON",Canada,,,,,,LW,25
202,Matt Cullen,43,"Virginia, MN",USA,,,,,,D,20
203,Josh Currie,27,"Charlottetown, PEI",Canada,,,,,,D,5
204,Austin Czarnik,27,"Washington Township, MI",USA,,,,,,C,18
205,Joel Daccord,23,"Boston, MA",USA,,,,,,C,0
206,Evgenii Dadonov,31,Chelyabinsk,Russia,,,,,,D,71
207,Rasmus Dahlin,20,Lidkoping,Sweden,,,,,,D,45
208,Carl Dahlstrom,25,Stockholm,Sweden,,,,,,D,6
209,Michael Dal Colle,23,"Woodbridge, ON",Canada,,,,,,D,7
210,Trevor Daley,36,"Toronto, ON",Canada,,,,,,D,8
211,Zac Dalpe,30,"Paris, ON",Canada,,,,,,D,1
212,Phillip Danault,27,"Victoriaville, QC",Canada,,,,,,LW,53
213,Marko Dano,25,Eisenstadt,Austria,,,,,,C,0
214,Scott Darling,31,"Newport News, VA",USA,,,,,,LW,0
215,Laurent Dauphin,25,"Repentigny, QC",Canada,,,,,,LW,0
216,Brandon Davidson,28,"Taber, AB",Canada,,,,,,D,1
217,Jean-Sebastien Dea,26,"La Prairie, QC",Canada,,,,,,D,5
218,Jean-Sebastien Dea,26,"La Prairie, QC",Canada,,,,,,C,1
219,Tony DeAngelo,24,"Sewell, NJ",USA,,,,,,C,30
220,Alex DeBrincat,22,"Farmington Hills, MI",USA,,,,,,C,77
221,Jake DeBrusk,23,"Edmonton, AB",Canada,,,,,,D,42
222,Calvin de Haan,28,"Carp, ON",Canada,,,,,,RW,14
223,Danny DeKeyser,30,"Detroit, MI",USA,,,,,,D,20
224,Jacob de la Rose,24,Arvika,Sweden,,,,,,D,9
225,Chase De Leo,24,"La Mirada, CA",USA,,,,,,C,0
226,Collin Delia,25,"Rancho Cucamonga, CA",USA,,,,,,C,0
227,Aaron Dell,30,"Airdrie, AB",Canada,,,,,,C,0
228,Michael Del Zotto,29,"Stouffville, ON",Canada,,,,,,C,4
229,Michael Del Zotto,29,"Stouffville, ON",Canada,,,,,,LW,3
230,Michael Del Zotto,29,"Stouffville, ON",Canada,,,,,,C,3
231,Dylan DeMelo,26,"London, ON",Canada,,,,,,C,22
232,Jason Demers,31,"Dorval, QC",Canada,,,,,,LW,8
233,Thatcher Demko,24,"San Diego, CA",USA,,,,,,C,1
234,Travis Dermott,23,"Newmarket, ON",Canada,,,,,,C,17
235,Nicolas Deslauriers,29,"LaSalle, QC",Canada,,,,,,LW,5
236,Casey DeSmith,28,"Rochester, NH",USA,,,,,,LW,0
237,Jason Dickinson,24,"Georgetown, ON",Canada,,,,,,D,22
238,Phillip Di Giuseppe,26,"Toronto, ON",Canada,,,,,,D,4
239,Phillip Di Giuseppe,26,"Toronto, ON",Canada,,,,,,D,0
240,Brenden Dillon,29,"New Westminster, BC",Canada,,,,,,C,23
241,Michael DiPietro,20,"Windsor, ON",Canada,,,,,,C,0
242,Christian Djoos,25,Gothenburg,Sweden,,,,,,C,10
243,Max Domi,25,"Winnipeg, MB",Canada,,,,,,C,72
244,Louis Domingue,28,"St-Hyacinthe, QC",Canada,,,,,,RW,1
245,Ryan Donato,24,"Boston, MA",USA,,,,,,RW,9
246,Ryan Donato,24,"Boston, MA",USA,,,,,,D,16
247,Matt Donovan,29,"Edmond, OK",USA,,,,,,D,1
248,Joonas Donskoi,28,Raahe,Finland,,,,,,LW,39
249,Jake Dotchin,26,"Cambridge, ON",USA,,,,,,C,1
250,Drew Doughty,30,"London, ON",Canada,,,,,,C,45
251,Nic Dowd,29,"Huntsville, AL",USA,,,,,,D,22
252,Justin Dowling,29,"Calgary, AB",Canada,,,,,,D,1
253,Leon Draisaitl,24,Cologne,Germany,,,,,,D,106
254,Sheldon Dries,25,"Macomb, MI",USA,,,,,,LW,6
255,Jonathan Drouin,25,"Ste-Agathe, QC",Canada,,,,,,C,53
256,Dillon Dube,21,"Golden, BC",Canada,,,,,,D,5
257,Brandon Dubinsky,33,"Anchorage, AK",USA,,,,,,D,14
258,Devan Dubnyk,33,"Regina, SK",Canada,,,,,,D,2
259,Pierre-Luc Dubois,21,"Ste-Agathe-des-Monts, QC",Canada,,,,,,D,61
260,Matt Duchene,29,"Haliburton, ON",Canada,,,,,,LW,58
261,Matt Duchene,29,"Haliburton, ON",Canada,,,,,,D,12
262,Anthony Duclair,24,"Pointe-Claire, QC",Canada,,,,,,LW,19
263,Anthony Duclair,24,"Pointe-Claire, QC",Canada,,,,,,C,15
264,Matt Dumba,25,"Regina, SK",Canada,,,,,,LW,22
265,Brian Dumoulin,28,"Biddeford, ME",USA,,,,,,C,23
266,Vince Dunn,23,"Mississauga, ON",Canada,,,,,,D,36
267,Christian Dvorak,24,"Palos, IL",USA,,,,,,C,7
268,Ryan Dzingel,28,"Wheaton, IL",USA,,,,,,D,44
269,Ryan Dzingel,28,"Wheaton, IL",USA,,,,,,D,13
270,Cody Eakin,28,"Winnipeg, MB",Canada,,,,,,D,42
271,Patrick Eaves,35,"Calgary, AB",Canada,,,,,,RW,0
272,Jordan Eberle,29,"Regina, SK",Canada,,,,,,D,37
273,Alexander Edler,33,Ostersund,Sweden,,,,,,D,34
274,Joel Edmundson,26,"Brandon, MB",Canada,,,,,,C,11
275,Nikolaj Ehlers,24,Aalborg,Denmark,,,,,,LW,40
276,Christoffer Ehn,24,Skara,Sweden,,,,,,LW,9
277,Jack Eichel,23,"North Chelmsford, MA",USA,,,,,,LW,87
278,Aaron Ekblad,24,"Windsor, ON",Canada,,,,,,C,37
279,Mattias Ekholm,29,Borlange,Sweden,,,,,,RW,45
280,Oliver Ekman-Larsson,28,Karlskrona,Sweden,,,,,,D,44
281,Remi Elie,24,"Cornwall, ON",Canada,,,,,,LW,1
282,Lars Eller,30,Rodovre,Denmark,,,,,,C,36
283,Brian Elliott,35,"Newmarket, ON",Canada,,,,,,LW,1
284,Stefan Elliott,29,"Vancouver, BC",Canada,,,,,,LW,1
285,Ryan Ellis,29,"Hamilton, ON",Canada,,,,,,D,41
286,Deryk Engelland,38,"Edmonton, AB",Canada,,,,,,D,13
287,Andreas Englund,24,Stockholm,Sweden,,,,,,D,0
288,Tyler Ennis,30,"Edmonton, AB",Canada,,,,,,LW,18
289,Jonathan Ericsson,36,Karlskrona,Sweden,,,,,,C,5
290,Loui Eriksson,34,Gothenburg,Sweden,,,,,,LW,29
291,Joel Eriksson Ek,23,Karlstad,Sweden,,,,,,D,14
292,Adam Erne,24,"New Haven, CT",USA,,,,,,LW,20
293,Robby Fabbri,24,"Mississauga, ON",Canada,,,,,,D,7
294,Dante Fabbro,21,"Coquitlam, BC",Canada,,,,,,C,1
295,Radek Faksa,26,Vitkov,Czech Republic,,,,,,D,30
296,Justin Falk,31,"Snowflake, MB",Canada,,,,,,C,0
297,Oscar Fantenberg,28,Ljunby,Sweden,,,,,,RW,3
298,Oscar Fantenberg,28,Ljunby,Sweden,,,,,,RW,1
299,Jesper Fast,28,Nassjo,Sweden,,,,,,RW,20
300,Justin Faulk,28,"South St. Paul, MN",USA,,,,,,C,36
301,Taylor Fedun,31,"Edmonton, AB",Canada,,,,,,C,11
302,Eric Fehr,34,"Winkler, MB",Canada,,,,,,C,15
303,Micheal Ferland,27,"Swan River, MB",Canada,,,,,,RW,40
304,Kevin Fiala,23,St. Gallen,Switzerland,,,,,,C,32
305,Kevin Fiala,23,St. Gallen,Switzerland,,,,,,C,7
306,Valtteri Filppula,36,Vantaa,Finland,,,,,,D,31
307,Christian Fischer,22,"Chicago, IL",USA,,,,,,RW,18
308,Haydn Fleury,23,"Carlyle, SK",Canada,,,,,,D,1
309,Marc-Andre Fleury,35,"Sorel, QC",Canada,,,,,,C,2
310,Warren Foegele,24,"Markham, ON",Canada,,,,,,C,16
311,Steven Fogarty,26,"Chambersburg, PA",USA,,,,,,LW,0
312,Marcus Foligno,28,"Buffalo, NY",USA,,,,,,C,19
313,Nick Foligno,32,"Buffalo, NY",USA,,,,,,D,36
314,Christian Folin,29,Gothenburg,Sweden,,,,,,C,2
315,Christian Folin,29,Gothenburg,Sweden,,,,,,LW,4
316,Derek Forbort,28,"Duluth, MN",USA,,,,,,C,14
317,Alex Formenton,20,"Barrie, ON",Canada,,,,,,LW,1
318,Jakob Forsbacka-Karlsson,23,Stockholm,Sweden,,,,,,LW,9
319,Filip Forsberg,25,Ostervala,Sweden,,,,,,C,50
320,Gustav Forsling,23,Linkoping,Sweden,,,,,,C,9
321,Alexandre Fortin,23,"Blainville, QC",Canada,,,,,,D,6
322,Cam Fowler,28,"Windsor, ON",Canada,,,,,,C,25
323,Pavel Francouz,29,Plzen,Czech Republic,,,,,,D,0
324,Trent Frederic,22,"St. Louis, MO",USA,,,,,,D,0
325,Mark Friedman,24,"Toronto, ON",Canada,,,,,,D,0
326,Tanner Fritz,28,"Grande Prairie, AB",Canada,,,,,,C,1
327,Martin Frk,26,Pelhrimov,Czech Republic,,,,,,C,6
328,Michael Frolik,32,Kladno,Czech Republic,,,,,,D,34
329,Kaden Fulcher,21,"Brigden, ON",Canada,,,,,,C,0
330,Kurtis Gabriel,26,"Newmarket, ON",Canada,,,,,,RW,4
331,Sam Gagner,30,"London, ON",Canada,,,,,,D,3
332,Sam Gagner,30,"London, ON",Canada,,,,,,D,10
333,Alex Galchenyuk,26,"Milwaukee, WI",USA,,,,,,RW,41
334,Brendan Gallagher,27,"Edmonton, AB",Canada,,,,,,D,52
335,Joseph Gambardella,26,"Staten Island, NY",USA,,,,,,LW,3
336,Dylan Gambrell,23,"Bonney Lake, WA",USA,,,,,,C,0
337,Jake Gardiner,29,"Minnetonka, MN",USA,,,,,,RW,30
338,Conor Garland,24,"Scituate, MA",USA,,,,,,C,18
339,Jason Garrison,35,"White Rock, BC",Canada,,,,,,C,1
340,Adam Gaudette,23,"Braintree, MA",USA,,,,,,C,12
341,Frederick Gaudreau,26,"Bromont, QC",Canada,,,,,,C,4
342,Johnny Gaudreau,26,"Salem, NJ",USA,,,,,,C,102
343,Brendan Gaunce,27,"Sudbury, ON",Canada,,,,,,D,3
344,Cameron Gaunce,30,"Sudbury, ON",Canada,,,,,,D,0
345,Frederik Gauthier,24,"Laval, QC",Canada,,,,,,RW,14
346,Alexandar Georgiev,24,Ruse,Russia,,,,,,D,1
